"type";"nano"
"TCP";7502000
"TCP";3421000
"TCP";5815000
"TCP";2977000
"TCP";6950000
"TCP";3118000
"TCP";4306000
"TCP";2841000
"TCP";5645000
"TCP";2764000
"TCP";4249000
"TCP";2614000
"TCP";2835000
"TCP";2936000
"TCP";2737000
"TCP";2584000
"TCP";5296000
"TCP";2846000
"TCP";2758000
"TCP";4027000
"TCP";2596000
"TCP";2604000
"TCP";4953000
"TCP";2585000
"TCP";2594000
"TCP";2900000
"TCP";3220000
"TCP";6004000
"TCP";2828000
"TCP";2990000
"TCP";6931000
"TCP";3025000
"TCP";3084000
"TCP";6739000
"TCP";2679000
"TCP";3990000
"TCP";2611000
"TCP";2824000
"TCP";3372000
"TCP";3400000
"TCP";2629000
"TCP";3771000
"TCP";2927000
"TCP";4935000
"TCP";2946000
"TCP";3658000
"TCP";2816000
"TCP";2942000
"TCP";3282000
"TCP";4606000
"TCP";2584000
"TCP";2892000
"TCP";2987000
"TCP";2782000
"TCP";2630000
"TCP";3705000
"TCP";2943000
"TCP";3231000
"TCP";2721000
"TCP";3247000
"TCP";2697000
"TCP";2832000
"TCP";4051000
"TCP";3703000
"TCP";2880000
"TCP";2585000
"TCP";2612000
"TCP";2622000
"TCP";2937000
"TCP";2709000
"TCP";3642000
"TCP";2796000
"TCP";3085000
"TCP";3009000
"TCP";3709000
"TCP";2889000
"TCP";6719000
"TCP";2812000
"TCP";2568000
"TCP";2672000
"TCP";2589000
"TCP";6044000
"TCP";3511000
"TCP";2903000
"TCP";3333000
"TCP";2787000
"TCP";2417000
"TCP";3790000
"TCP";2620000
"TCP";3312000
"TCP";2636000
"TCP";2580000
"TCP";3061000
"TCP";2747000
"TCP";2528000
"TCP";23073000
"TCP";6514000
"TCP";2599000
"TCP";3334000
"TCP";2744000
"TCP";2805000
"TCP";3855000
"TCP";2815000
"TCP";2604000
"TCP";3296000
"TCP";2844000
"TCP";2615000
"TCP";2994000
"TCP";3303000
"TCP";12132000
"TCP";2585000
"TCP";3009000
"TCP";2632000
"TCP";2617000
"TCP";3024000
"TCP";2767000
"TCP";6316000
"TCP";5362000
"TCP";2724000
"TCP";3445000
"TCP";2641000
"TCP";4494000
"TCP";2809000
"TCP";3025000
"TCP";2593000
"TCP";2966000
"TCP";2586000
"TCP";4260000
"TCP";4337000
"TCP";2690000
"TCP";3674000
"TCP";3051000
"TCP";2739000
"TCP";2589000
"TCP";11278000
"TCP";3287000
"TCP";2582000
"TCP";2822000
"TCP";6549000
"TCP";6072000
